Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_001,,,,08-09-2026 22:36:26,08-09-2026 22:36:27,0.891s,PASSED
,,,,,,,
Test Cases/TC02_Consumer_GetPost,,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.532s,PASSED
"request = sendRequest(findTestObject(""Object Repository/API-002""))",,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.387s,PASSED
"verifyResponseStatusCode(request, 200)",,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.006s,PASSED
"userId = getElementPropertyValue(request, ""userId"")",,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.020s,PASSED
"id = getElementPropertyValue(request, ""id"")",,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.007s,PASSED
"title = getElementPropertyValue(request, ""title"")",,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.006s,PASSED
"body = getElementPropertyValue(request, ""body"")",,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.006s,PASSED
println(userId + id + title + body),,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.002s,PASSED
,,,,,,,
Test Cases/TC01_Producer_CreatePost,,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.301s,PASSED
"request = sendRequest(findTestObject(""Object Repository/API-001""))",,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.285s,PASSED
"verifyResponseStatusCode(request, 201)",,,,08-09-2026 22:36:26,08-09-2026 22:36:26,0.002s,PASSED
